,long,lat,NAME,FOLDERPATH,SYMBOLID,LatRound4,LongRound4,LatLong4,nearest_block,nearest_road
151,103.85402674135,1.31856556443921,BALESTIER ROAD,Layers/Expressway_Sliproad,2,1.3186,103.854,"1.3186,103.854",101,WHAMPOA DRIVE
152,103.85402674135,1.31856556443921,BALESTIER ROAD,Layers/Expressway_Sliproad,2,1.3186,103.854,"1.3186,103.854",101,WHAMPOA DRIVE
153,103.856286833051,1.32180018621222,BALESTIER ROAD,Layers/Expressway_Sliproad,2,1.3218,103.8563,"1.3218,103.8563",95,WHAMPOA DRIVE
154,103.94230769773199,1.31133180020776,BAYSHORE ROAD,Layers/Expressway_Sliproad,2,1.3113,103.9423,"1.3113,103.9423",,
155,103.933286243928,1.33500106463214,BEDOK NORTH AVENUE 3,Layers/Expressway_Sliproad,2,1.335,103.9333,"1.335,103.9333",761A,BEDOK RESERVOIR VIEW
156,103.928914774284,1.3354472778431001,BEDOK NORTH AVENUE 3,Layers/Expressway_Sliproad,2,1.3354,103.9289,"1.3354,103.9289",525,BEDOK NORTH STREET 3
157,103.933843969074,1.3356503916757099,BEDOK NORTH AVENUE 3,Layers/Expressway_Sliproad,2,1.3357,103.9338,"1.3357,103.9338",761A,BEDOK RESERVOIR VIEW
158,103.93823757764,1.33511214527514,BEDOK NORTH AVENUE 3,Layers/Expressway_Sliproad,2,1.3351,103.9382,"1.3351,103.9382",769A,BEDOK RESERVOIR VIEW
159,103.933843969074,1.3356503916757099,BEDOK NORTH AVENUE 3,Layers/Expressway_Sliproad,2,1.3357,103.9338,"1.3357,103.9338",761A,BEDOK RESERVOIR VIEW
160,103.917484420187,1.33135281424639,BEDOK NORTH ROAD,Layers/Expressway_Sliproad,2,1.3314,103.9175,"1.3314,103.9175",613,BEDOK RESERVOIR ROAD
161,103.93112606967199,1.30793075789824,BEDOK SOUTH AVENUE 1,Layers/Expressway_Sliproad,2,1.3079,103.9311,"1.3079,103.9311",,
162,103.937337507696,1.30990459228577,BEDOK SOUTH AVENUE 1,Layers/Expressway_Sliproad,2,1.3099,103.9373,"1.3099,103.9373",,
163,103.86781989289899,1.32815015102892,BENDEMEER ROAD,Layers/Expressway_Sliproad,2,1.3282,103.8678,"1.3282,103.8678",,
164,103.861666323699,1.3401746738251998,BRADDELL ROAD,Layers/Expressway_Sliproad,2,1.3402,103.8617,"1.3402,103.8617",,
165,103.86210215313801,1.33943106232197,BRADDELL ROAD,Layers/Expressway_Sliproad,2,1.3394,103.8621,"1.3394,103.8621",115,POTONG PASIR AVENUE 1
166,103.861652830935,1.34064421816824,BRADDELL ROAD,Layers/Expressway_Sliproad,2,1.3406,103.8617,"1.3406,103.8617",,
167,103.85986994341101,1.3441537979402598,BRADDELL ROAD,Layers/Expressway_Sliproad,2,1.3442,103.8599,"1.3442,103.8599",,
168,103.86086712374399,1.3429323568224698,BRADDELL ROAD,Layers/Expressway_Sliproad,2,1.3429,103.8609,"1.3429,103.8609",,
